BASIS,ESCF,ECCSD,ECCSDT
VDZ,-270.015032876544,-271.005581259853,-271.0397814725
VTZ,-270.081644036154,-271.243346783776,-271.292144373464
VQZ,-270.097997890077,-271.310539722503,-271.362792014612
MTsmall,-270.081423577453,-271.256122160068,-271.305638934011
MTsmall_full,-270.206213014057,-271.684766608266,-271.737029568889
