BASIS,ESCF,ECCSD,ECCSDT
VDZ,-345.235135479082,-346.464147509951,-346.513023018909
VTZ,-345.318697663807,-346.760122094696,-346.827904612798
VQZ,-345.339611090451,-346.844790290924,0.0
MTsmall,-345.316421281132,-346.772551158679,-346.840458693949
MTsmall_full,-345.493213173098,-347.307597696869,-347.378834046832
