BASIS,ESCF,ECCSD,ECCSDT
VDZ,-345.349619115018,-346.551095082981,-346.592619508706
VTZ,-345.43396306012,-346.848998673646,-346.908636529375
VQZ,-345.455133169675,-346.934184501688,0.0
MTsmall,-345.433248853273,-346.86363343034,-346.923648801855
MTsmall_full,-345.609951486965,-347.398955801658,-347.462183585153
