BASIS,ESCF,ECCSD,ECCSDT
VDZ,-267.279456564909,-268.154456632976,-268.18374881234
VTZ,-267.345427484071,-268.381828504663,-268.424637715023
VQZ,-267.361944162903,-268.448105316919,-268.494085912693
MTsmall,-267.343809384156,-268.392073729065,-268.434941795249
MTsmall_full,-267.491285710202,-268.798539263487,-268.843720467521
