BASIS,ESCF,ECCSD,ECCSDT
VDZ,-267.217626736403,-268.116987571559,-268.150260214512
VTZ,-267.28322697403,-268.344248490525,-268.391737047655
VQZ,-267.299468397373,-268.409995286951,0.0
MTsmall,-267.281490331581,-268.354494666049,-268.402161419099
MTsmall_full,-267.429048451047,-268.760825975399,-268.810893046561
