BASIS,ESCF,ECCSD,ECCSDT
VDZ,-267.312388085519,-268.185250492097,-268.214815959041
VTZ,-267.3786330557,-268.412494779461,-268.455491220988
VQZ,-267.395296806967,-268.478433543673,-268.524607233911
MTsmall,-267.377635949852,-268.42346620265,-268.466563630016
MTsmall_full,-267.525256922967,-268.830149530815,-268.875572403179
