BASIS,ESCF,ECCSD,ECCSDT
VDZ,-149.620270744379,-150.007125494764,-150.020668026847
VTZ,-149.655028974142,-150.120425005396,-150.140896802448
VQZ,-149.665128352553,-150.156558981266,0.0
MTsmall,-149.653415522023,-150.126197338971,-150.146680259494
MTsmall_full,-149.75732356259,-150.339736384109,-150.361169626272
