BASIS,ESCF,ECCSD,ECCSDT
VDZ,-150.195745615434,-150.587488525375,-150.599526991892
VTZ,-150.232468223402,-150.707277428346,-150.726061153145
VQZ,-150.242461265935,-150.744790052956,0.0
MTsmall,-150.230299972919,-150.712013178139,-150.730507471358
MTsmall_full,-150.3340635789,-150.925421085779,-150.944872378169
