BASIS,ESCF,ECCSD,ECCSDT
VDZ,-75.240955864465,-75.426295774292,-75.430001938037
VTZ,-75.259738063291,-75.487405701747,-75.494040500614
VQZ,-75.26478020055,-75.506514991938,0.0
MTsmall,-75.256698203054,-75.487143948002,-75.49323866812
MTsmall_full,-75.308422314334,-75.594052537546,-75.600520229613
