BASIS,ESCF,ECCSD,ECCSDT
VDZ,-307.893116051174,-309.01062558845,-309.051669545402
VTZ,-307.966607023267,-309.278049307654,-309.336180921283
VQZ,-307.98497878854,-309.35390722073,-309.416062656376
MTsmall,-307.966680225874,-309.292996369183,-309.352012653954
MTsmall_full,-308.10614575232,-309.78626975958,-309.848518854922
