BASIS,ESCF,ECCSD,ECCSDT
VDZ,-233.043425314157,-233.962240036702,-233.99630230651
VTZ,-233.09939111401,-234.170127583194,-234.217897960562
VQZ,-233.113164161703,-234.227445768023,-234.278414623749
MTsmall,-233.100622364527,-234.183776815792,-234.232426327056
MTsmall_full,-233.188389532405,-234.570620346296,-234.622004255659
