BASIS,ESCF,ECCSD,ECCSDT
VDZ,-306.244560135331,-307.314684477156,-307.359198054265
VTZ,-306.318565937514,-307.574863566768,-307.636216902122
VQZ,-306.33750112591,-307.650105816707,0.0
MTsmall,-306.317347110853,-307.587753909835,-307.649497798351
MTsmall_full,-306.479647548723,-308.058776241516,-308.123388128779
