BASIS,ESCF,ECCSD,ECCSDT
VDZ,-156.678730643,-157.316872384295,-157.336484886646
VTZ,-156.719525969964,-157.463174024037,-157.491535281547
VQZ,-156.729043218426,-157.502284532192,-157.53270050615
MTsmall,-156.720345825815,-157.472159913721,-157.500988729618
MTsmall_full,-156.77885542786,-157.729977658733,-157.760504570896
