BASIS,ESCF,ECCSD,ECCSDT
VDZ,-381.985971437918,-383.301773626253,-383.360391593029
VTZ,-382.073961733219,-383.618969040615,-383.698909935572
VQZ,-382.096910726179,-383.71132575379,0.0
MTsmall,-382.072704548848,-383.635585533845,-383.716175052657
MTsmall_full,-382.264302065719,-384.235587149976,-384.320021577193
