BASIS,ESCF,ECCSD,ECCSDT
VDZ,-232.420659552022,-233.322279619789,-233.357019578198
VTZ,-232.475335920461,-233.525663424707,-233.573937524027
VQZ,-232.488911082768,-233.582142351757,-233.633595243141
MTsmall,-232.476174768341,-233.538868932925,-233.58794075689
MTsmall_full,-232.563970018794,-233.925697966772,-233.977460550048
