BASIS,ESCF,ECCSD,ECCSDT
VDZ,-231.856935740471,-232.739943102415,-232.776348541872
VTZ,-231.911953797831,-232.941087512622,-232.991258313794
VQZ,-231.925473429484,-232.997307203319,-233.050694742537
MTsmall,-231.912723453218,-232.954741104047,-233.005792209594
MTsmall_full,-232.000571403214,-233.341646806403,-233.395512185078
