BASIS,ESCF,ECCSD,ECCSDT
VDZ,-380.890033430317,-382.141185309021,-382.193058852759
VTZ,-380.977923510522,-382.45292048693,-382.525191526961
VQZ,-381.000653380025,-382.544196468665,-382.621287130031
MTsmall,-380.976966888208,-382.469895123035,-382.542711379186
MTsmall_full,-381.168595864284,-383.069930653355,-383.14661834812
