BASIS,ESCF,ECCSD,ECCSDT
VDZ,-231.246961558278,-232.111925667618,-232.14896226639
VTZ,-231.301049559545,-232.309330962541,-232.360045946164
VQZ,-231.314406166877,-232.3649278249,-232.418859916504
MTsmall,-231.301540086382,-232.322756137278,-232.37427033398
MTsmall_full,-231.389415167537,-232.709717274402,-232.763995050505
