BASIS,ESCF,ECCSD,ECCSDT
VDZ,-380.803247116675,-382.08250183878,-382.140668320552
VTZ,-380.891531703035,-382.395375948047,-382.474603997833
VQZ,-380.91404713353,-382.486861901887,0.0
MTsmall,-380.890696392374,-382.412291203178,-382.491974743143
MTsmall_full,-381.082373391559,-383.012280900207,-383.095879675988
