BASIS,ESCF,ECCSD,ECCSDT
VDZ,-78.042726360737,-78.354187067263,-78.364990081485
VTZ,-78.064768284057,-78.427031133466,-78.442331646459
VQZ,-78.069623157657,-78.446730907834,0.0
MTsmall,-78.064988964249,-78.432408140887,-78.447995938864
MTsmall_full,-78.094315143153,-78.561389007879,-78.577906570829
