BASIS,ESCF,ECCSD,ECCSDT
VDZ,-228.165428410395,-228.920881176534,-228.95143478778
VTZ,-228.220605001849,-229.110383666503,-229.152798943706
VQZ,-228.234640413804,-229.166530116856,0.0
MTsmall,-228.217352611778,-229.116531675829,-229.158476397797
MTsmall_full,-228.350441146285,-229.458337923001,-229.502206237719
