BASIS,ESCF,ECCSD,ECCSDT
VDZ,-156.685365258036,-157.324208958644,-157.343848104941
VTZ,-156.726372157241,-157.470616867743,-157.499008336394
VQZ,-156.735935866564,-157.510063633058,-157.540522623751
MTsmall,-156.727274272128,-157.480077548076,-157.508983409531
MTsmall_full,-156.785775588948,-157.738081807237,-157.768672778607
