BASIS,ESCF,ECCSD,ECCSDT
VDZ,-306.259344549201,-307.322303596638,-307.361892399379
VTZ,-306.333648932486,-307.58409979346,-307.640131525198
VQZ,-306.352114329931,-307.659089947276,0.0
MTsmall,-306.332391055155,-307.596252075992,-307.652582193181
MTsmall_full,-306.494577152257,-308.067057082183,-308.126235146351
