BASIS,ESCF,ECCSD,ECCSDT
VDZ,-306.320027233087,-307.359108738377,-307.39480684575
VTZ,-306.394696553574,-307.6209729955,-307.672445005573
VQZ,-306.413448462356,-307.69651319329,0.0
MTsmall,-306.393491408714,-307.633064810203,-307.684708625078
MTsmall_full,-306.555596523654,-308.103996476639,-308.158405164363
